TS : 4215478, TJ : 3860845
TS : 2029872, TJ : 1353659
TS : 5705401, TJ : 5357238
TS : 1899863, TJ : 1563547
TS : 1641195, TJ : 1331029
TS : 2475959, TJ : 2150518
TS : 1692205, TJ : 1369859
TS : 1700191, TJ : 1352776
TS : 1816268, TJ : 1478738
TS : 4311760, TJ : 3973059
TS : 3432946, TJ : 3046271
TS : 1608851, TJ : 1285154
TS : 9740789, TJ : 9392468
TS : 4287474, TJ : 4233713
TS : 21839752, TJ : 21790796
TS : 8195284, TJ : 7828721
TS : 9499027, TJ : 9446503
TS : 4099539, TJ : 4045395
TS : 8896434, TJ : 8839150
TS : 5073250, TJ : 5020994
TS : 1964544, TJ : 1332462
TS : 1835126, TJ : 1525146
TS : 9271960, TJ : 8921673
TS : 1715762, TJ : 1339097
TS : 6907531, TJ : 6547990
TS : 1703737, TJ : 1356763
TS : 9081177, TJ : 8762014
TS : 3798212, TJ : 3745713
TS : 1384759, TJ : 1332979
TS : 9566774, TJ : 9512756
TS : 1554968, TJ : 1501016
TS : 3440500, TJ : 3388165
TS : 1274417, TJ : 1226481
TS : 1283472, TJ : 1230389
TS : 1776522, TJ : 1721736
TS : 1241292, TJ : 1188096
TS : 1469543, TJ : 1414209
TS : 1199950, TJ : 1146509
