TS : 185629046, TJ : 54024789
TS : 149156187, TJ : 29084462
TS : 130074882, TJ : 1099125
TS : 131520730, TJ : 793638
TS : 126626240, TJ : 1487207
TS : 226635543, TJ : 94374567
TS : 154877891, TJ : 22908930
TS : 155935044, TJ : 28973276
TS : 129614461, TJ : 1735695
TS : 140481643, TJ : 3357843
TS : 140669323, TJ : 12548102
TS : 131901219, TJ : 1379528
TS : 132792495, TJ : 2477687
TS : 151086032, TJ : 27106429
TS : 148022937, TJ : 22912320
TS : 134960770, TJ : 7043451
TS : 158333574, TJ : 28031968
TS : 139163894, TJ : 7733963
TS : 127867681, TJ : 1292765
TS : 126848312, TJ : 2042779
TS : 222251078, TJ : 100994350
TS : 133210567, TJ : 811827
TS : 129905635, TJ : 749484
TS : 146817402, TJ : 12236974
TS : 133660233, TJ : 780213
TS : 134850533, TJ : 747014
TS : 138455342, TJ : 5280467
TS : 156241722, TJ : 34375572
TS : 161752987, TJ : 27930970
TS : 127107098, TJ : 2032579
TS : 152836382, TJ : 17543692
TS : 162954909, TJ : 34200020
TS : 158009805, TJ : 32195105
TS : 233419395, TJ : 100543291
TS : 199758985, TJ : 79746863
TS : 191903422, TJ : 27519961
TS : 190654653, TJ : 1145217
TS : 203476453, TJ : 62599525
TS : 186344204, TJ : 1329617
TS : 192817792, TJ : 4863915
TS : 180789945, TJ : 833261
TS : 259265472, TJ : 89138338
TS : 221615469, TJ : 759292
TS : 250057072, TJ : 55743976
TS : 218572963, TJ : 1231645
TS : 241056811, TJ : 45463585
TS : 274926349, TJ : 86665394
TS : 221884782, TJ : 2605728
TS : 290974375, TJ : 143058930
TS : 217131133, TJ : 1964568
TS : 249768365, TJ : 24563784
TS : 231315518, TJ : 5718344
TS : 232840481, TJ : 2992494
TS : 227745381, TJ : 1535131
TS : 229794624, TJ : 1042688
TS : 245151361, TJ : 24773685
TS : 230417002, TJ : 1393493
TS : 219983950, TJ : 1498078
TS : 235402891, TJ : 1550174
TS : 217370891, TJ : 1878764
TS : 223235259, TJ : 2192865
TS : 218049232, TJ : 705915
TS : 218636505, TJ : 1246828
TS : 221651239, TJ : 3620840
TS : 240732820, TJ : 23587819
TS : 305275665, TJ : 80422246
TS : 235860314, TJ : 16955357
TS : 215034939, TJ : 1598056
TS : 216611807, TJ : 1099481
TS : 304766795, TJ : 85805543
TS : 217771761, TJ : 1110788
TS : 221178420, TJ : 2386678
TS : 223346397, TJ : 1040290
TS : 218468008, TJ : 1075169
TS : 698985322, TJ : 534402869
TS : 195842147, TJ : 1373799
TS : 190857454, TJ : 696051
TS : 252810026, TJ : 31006405
TS : 260016029, TJ : 33056592
TS : 120400426, TJ : 1616119
TS : 124910440, TJ : 1244483
TS : 224038251, TJ : 25516474
