TS : 1307989, TJ : 1041643
TS : 21085515, TJ : 20209498
TS : 1721498, TJ : 1497722
TS : 7879680, TJ : 7634799
TS : 4635320, TJ : 4289943
TS : 232334775, TJ : 232057469
TS : 1590785, TJ : 1374256
TS : 1865968, TJ : 1298684
TS : 3559495, TJ : 3269824
TS : 4385031, TJ : 3879021
TS : 1874986, TJ : 1629466
TS : 7799287, TJ : 7545530
TS : 8971494, TJ : 8740452
TS : 3495740, TJ : 3294715
TS : 2866009, TJ : 2657932
TS : 3225524, TJ : 2794742
TS : 6765549, TJ : 5596030
TS : 19441066, TJ : 17846417
TS : 2094722, TJ : 1359117
TS : 28692884, TJ : 28239772
TS : 3586822, TJ : 2938827
TS : 6884280, TJ : 6317504
TS : 1487085, TJ : 1258367
TS : 1552000, TJ : 1293393
TS : 6645510, TJ : 5990534
TS : 60300762, TJ : 57440633
TS : 65012679, TJ : 62106331
TS : 69665369, TJ : 1809290
TS : 63742820, TJ : 57734916
TS : 73480203, TJ : 7016805
TS : 76577152, TJ : 16061873
TS : 78218032, TJ : 77965591
TS : 85246422, TJ : 20334976
TS : 98007821, TJ : 90627552
TS : 2745673, TJ : 1331610
TS : 4210093, TJ : 3526298
TS : 1570911, TJ : 1358923
TS : 1899519, TJ : 1692675
TS : 13825612, TJ : 13418252
TS : 1928888, TJ : 1685499
TS : 26788150, TJ : 26577707
TS : 1769301, TJ : 1367711
TS : 3969983, TJ : 3325973
TS : 13152196, TJ : 12953276
TS : 48563039, TJ : 48256523
TS : 2529379, TJ : 2277470
TS : 3690219, TJ : 1354814
TS : 4146311, TJ : 3205858
TS : 294428331, TJ : 294187327
TS : 7874456, TJ : 7327371
TS : 1325356, TJ : 1129825
TS : 10749653, TJ : 8920036
TS : 3342758, TJ : 1985098
TS : 7396484, TJ : 6813390
TS : 1943551, TJ : 1718167
TS : 9776570, TJ : 5610229
TS : 12606907, TJ : 6521825
TS : 8597178, TJ : 6008596
TS : 13090150, TJ : 6350870
TS : 18065018, TJ : 14969832
TS : 30447316, TJ : 26071502
TS : 32385061, TJ : 28604433
TS : 1625557, TJ : 1394130
TS : 57455244, TJ : 57164623
TS : 10049613, TJ : 9526957
TS : 12148159, TJ : 11492505
TS : 15849009, TJ : 15623707
TS : 8471946, TJ : 2329365
TS : 12311838, TJ : 8267284
TS : 12796350, TJ : 11576018
TS : 14062415, TJ : 8639104
TS : 19983569, TJ : 13260061
TS : 1533512, TJ : 1264475
TS : 7465568, TJ : 7138631
TS : 40985256, TJ : 38395300
TS : 3213725, TJ : 2994090
TS : 1767387, TJ : 1517921
TS : 1479306, TJ : 1259703
TS : 2972256, TJ : 2315950
TS : 4030338, TJ : 2175705
TS : 1355384, TJ : 1136670
TS : 1639439, TJ : 1400972
TS : 3027287, TJ : 2808125
TS : 4402621, TJ : 4189301
TS : 1445224, TJ : 1215239
TS : 25876457, TJ : 25616262
TS : 13247955, TJ : 9631246
TS : 14414107, TJ : 11612579
TS : 39380640, TJ : 39152502
TS : 81409822, TJ : 81169871
TS : 74435236, TJ : 73497357
TS : 3037563, TJ : 2825322
TS : 13984658, TJ : 13739321
TS : 95653001, TJ : 94966575
TS : 98613896, TJ : 90597613
TS : 32948045, TJ : 29822766
TS : 129141121, TJ : 125963561
TS : 44480916, TJ : 44234345
TS : 16361878, TJ : 14659801
TS : 1601911, TJ : 1370955
TS : 349298479, TJ : 348544873
TS : 16262879, TJ : 15976585
TS : 2005085, TJ : 1774574
TS : 6024212, TJ : 5800613
TS : 4816462, TJ : 2653734
TS : 5472368, TJ : 2641952
TS : 7149079, TJ : 6226267
TS : 58998571, TJ : 57811194
TS : 1583476, TJ : 1165868
TS : 42272481, TJ : 42003064
TS : 2218244, TJ : 1961849
TS : 1968706, TJ : 1155623
TS : 2568868, TJ : 1711442
TS : 1859126, TJ : 1569450
TS : 2104996, TJ : 1891427
TS : 4726286, TJ : 3853503
TS : 6163895, TJ : 5544347
TS : 1413278, TJ : 1201491
TS : 4793948, TJ : 4202245
TS : 4576764, TJ : 4363439
TS : 5347489, TJ : 4425849
TS : 15365657, TJ : 12674031
TS : 16261506, TJ : 14738034
