TS : 1205875, TJ : 1109418
TS : 1435078, TJ : 1339624
TS : 4364642, TJ : 4266575
TS : 5320989, TJ : 5223962
TS : 9109505, TJ : 8365502
TS : 2912127, TJ : 2045908
TS : 1326661, TJ : 1201265
TS : 3631877, TJ : 3528447
TS : 3122805, TJ : 3032005
TS : 3879134, TJ : 3755184
TS : 5605056, TJ : 5530434
TS : 7111095, TJ : 7031307
TS : 9589241, TJ : 9426448
TS : 4189058, TJ : 4024675
TS : 4054676, TJ : 3371185
TS : 4591767, TJ : 4504461
TS : 2328443, TJ : 2218257
TS : 1129994, TJ : 816419
TS : 2346443, TJ : 2268737
TS : 7074469, TJ : 6991132
TS : 8728057, TJ : 8641934
TS : 13159219, TJ : 12930900
TS : 13577985, TJ : 13496944
TS : 1524552, TJ : 1448220
TS : 3318812, TJ : 3230352
TS : 11435686, TJ : 10715013
TS : 12033534, TJ : 11856502
TS : 12308874, TJ : 12225340
TS : 10190905, TJ : 2341647
TS : 10730785, TJ : 6196643
TS : 11887286, TJ : 10390413
TS : 12082127, TJ : 9241002
TS : 14230889, TJ : 8179529
TS : 5857359, TJ : 1765447
TS : 5821785, TJ : 3042614
TS : 7972734, TJ : 6558034
TS : 2141360, TJ : 1252610
TS : 2322779, TJ : 1190603
TS : 6749566, TJ : 1301620
TS : 8759411, TJ : 4439046
TS : 8962311, TJ : 5650143
TS : 10560653, TJ : 8622428
TS : 12598785, TJ : 12515124
TS : 6270143, TJ : 2883560
TS : 6914989, TJ : 3208308
TS : 7485713, TJ : 5518300
TS : 8392457, TJ : 2711420
TS : 17618058, TJ : 16051721
TS : 2489049, TJ : 1365339
TS : 5151553, TJ : 1286424
TS : 6792917, TJ : 5635541
TS : 12530053, TJ : 7190148
TS : 14113168, TJ : 12755128
TS : 10735324, TJ : 5505065
TS : 4652142, TJ : 3644293
TS : 2101301, TJ : 1991251
TS : 2678838, TJ : 2586106
TS : 6125972, TJ : 5083747
TS : 9697886, TJ : 8854926
TS : 12092443, TJ : 11068520
TS : 1736337, TJ : 1636648
TS : 4544793, TJ : 4447753
TS : 3605504, TJ : 3523239
TS : 7823449, TJ : 7734883
TS : 9253029, TJ : 9084130
TS : 2346103, TJ : 1882556
TS : 2752829, TJ : 2669879
TS : 5220556, TJ : 5138422
TS : 7380378, TJ : 7284779
TS : 12239524, TJ : 12057847
TS : 1967181, TJ : 1883571
TS : 5825488, TJ : 5740128
TS : 7241069, TJ : 7047964
TS : 8634526, TJ : 8446264
TS : 8886526, TJ : 8799660
TS : 12382810, TJ : 8789811
TS : 20298577, TJ : 19462189
TS : 53297386, TJ : 52009366
TS : 1204472, TJ : 1074731
TS : 3874074, TJ : 3333015
TS : 4965572, TJ : 4184515
TS : 3784913, TJ : 3696065
TS : 7881951, TJ : 7552115
TS : 27035316, TJ : 25923566
TS : 3518077, TJ : 2551289
TS : 3476083, TJ : 3394035
TS : 4282383, TJ : 4204370
TS : 7188624, TJ : 6923248
TS : 9629748, TJ : 9427755
TS : 1388088, TJ : 1298600
TS : 6035163, TJ : 5862967
TS : 1500178, TJ : 1410527
TS : 2385484, TJ : 2308219
TS : 4148983, TJ : 4055769
TS : 1778545, TJ : 1700245
TS : 5288717, TJ : 5202730
TS : 4380831, TJ : 4291482
TS : 8515934, TJ : 8432739
TS : 10143497, TJ : 9947198
TS : 13060871, TJ : 12959516
TS : 14489130, TJ : 14308879
TS : 14717416, TJ : 14629726
TS : 4438260, TJ : 3289351
TS : 1855507, TJ : 1015667
TS : 4202325, TJ : 1312102
TS : 6947639, TJ : 3171919
TS : 9226268, TJ : 7647954
TS : 10397056, TJ : 7748910
TS : 1887549, TJ : 1037827
TS : 2471416, TJ : 1387258
TS : 1843626, TJ : 981778
